Feature,Polarity,Decision
Please,Positive,Included
Please_start,Positive,Included
Hedges,Positive,Included
HASHEDGE,Positive,Included
Gratitude,Positive,Included
Deference,Positive,Included
Apologizing,Positive,Included
1st_person_pl.,Positive,Included
Indirect_(btw),Positive,Included
Indirect_(greeting),Positive,Included
HASPOSITIVE,Positive,Included
Direct_question,Negative,Included
Direct_start,Negative,Included
2nd_person,Negative,Included
2nd_person_start,Negative,Included
HASNEGATIVE,Negative,Included
Factuality,Neutral,Excluded
SUBJUNCTIVE,Neutral,Excluded
INDICATIVE,Neutral,Excluded
1st_person,Neutral,Excluded
1st_person_start,Neutral,Excluded
